date,price
2025-06-17,36.2777874202
2025-06-16,36.2710735073
2025-06-15,36.3114742047
2025-06-14,36.314142828
2025-06-13,36.3573519623
2025-06-12,36.3106227224
2025-06-11,36.5677176042
2025-06-10,36.7615729043
2025-06-09,36.040948125
2025-06-08,35.9788467839
2025-06-07,35.9779837765
2025-06-06,35.714637631
2025-06-05,34.5051371058
2025-06-04,34.5517432014
2025-06-03,34.6765755675
2025-06-02,33.0865975319
2025-06-01,32.9815554708
2025-05-31,32.9858441777
2025-05-30,33.2827234022
2025-05-29,32.9406478701
2025-05-28,33.2852368318
2025-05-27,33.4316352679
2025-05-26,33.456313948
2025-05-25,33.4861693448
2025-05-24,33.4885353925
2025-05-23,33.0489586116
2025-05-22,33.5002686336
2025-05-21,33.1059943597
2025-05-20,32.3550719102
2025-05-19,32.4768488945
2025-05-18,32.2891734682
2025-05-17,32.28290788
2025-05-16,32.6409999886
2025-05-15,32.1699977981
2025-05-14,32.9268992741
2025-05-13,32.5848934147
2025-05-12,32.6757228652
2025-05-11,32.7325148217
2025-05-10,32.7290579367
2025-05-09,32.476774957
2025-05-08,32.4616778775
2025-05-07,33.1385482605
2025-05-06,32.5166958113
2025-05-05,32.0380731234
2025-05-04,32.0143306389
2025-05-03,32.0186345379
2025-05-02,32.4518760178
2025-05-01,32.6359966211
2025-04-30,32.9479982567
2025-04-29,33.1071073921
2025-04-28,33.0022955572
2025-04-27,33.0944277482
2025-04-26,33.1012767225
2025-04-25,33.6429744105
2025-04-24,33.6302108578
2025-04-23,32.6018280771
2025-04-22,32.6677393598
2025-04-21,32.5814266625
2025-04-20,32.5018565385
2025-04-19,32.5218235339
2025-04-18,32.5110506199
2025-04-17,32.7960734153
2025-04-16,32.3819725673
2025-04-15,32.2442454646
2025-04-14,32.0860542842
2025-04-13,32.2954636006
2025-04-12,32.2957940254
2025-04-11,31.1448914417
2025-04-10,30.9239480388
2025-04-09,29.642096876
2025-04-08,30.0392843848
2025-04-07,28.6658178202
2025-04-06,29.5909140175
2025-04-05,29.5896049327
2025-04-04,31.9548013906
2025-04-03,33.7559850459
2025-04-02,33.6483481594
2025-04-01,34.043714792
2025-03-31,34.1936978334
2025-03-30,34.1203410645
2025-03-29,34.1233412328
2025-03-28,34.411123324
2025-03-27,33.673896871
2025-03-26,33.659492469
2025-03-25,32.9385346916
2025-03-24,33.067197068
2025-03-23,33.0337994668
2025-03-22,33.0332166501
2025-03-21,33.5407959015
2025-03-20,33.8988647033
2025-03-19,33.9655234313
2025-03-18,33.7878346712
2025-03-17,33.7866079333
2025-03-16,33.7931182194
2025-03-15,33.7862073734
2025-03-14,33.8528579099
2025-03-13,33.2830982656
2025-03-12,32.8469840264
2025-03-11,32.0234112143
2025-03-10,32.5782950745
2025-03-09,32.5286777214
2025-03-08,32.5247090052
2025-03-07,32.6263373511
2025-03-06,32.6211776849
2025-03-05,31.9129740856
2025-03-04,31.6605737264
2025-03-03,31.191249527
2025-03-02,31.1544966693
2025-03-01,31.1488053187
2025-02-28,31.2211643278
2025-02-27,31.8738170152
2025-02-26,31.7885664626
2025-02-25,32.2856883594
2025-02-24,32.5833938323
2025-02-23,32.4867880619
2025-02-22,32.5099769868
2025-02-21,32.9476569569
2025-02-20,32.7383999975
2025-02-19,32.8985351078
2025-02-18,32.3904201316
2025-02-17,32.0743122299
2025-02-16,32.1445777732
2025-02-15,32.1464966774
2025-02-14,32.3603696326
2025-02-13,32.2846116316
2025-02-12,31.8226098765
2025-02-11,32.0790064354
2025-02-10,31.824427637
2025-02-09,31.8143714398
2025-02-08,31.8143953267
2025-02-07,32.2293877426
2025-02-06,32.3403401149
2025-02-05,32.0862959132
2025-02-04,31.5020036251
2025-02-03,31.1127492181
2025-02-02,31.3493029337
2025-02-01,31.3258053163
2025-01-31,31.649623276
2025-01-30,30.8643931959
2025-01-29,30.4232362895
2025-01-28,30.1892187779
2025-01-27,30.5220647791
2025-01-26,30.6160201032
2025-01-25,30.6182858233
2025-01-24,30.4692978451
2025-01-23,30.7752351596
2025-01-22,30.7653689108
2025-01-21,30.5849860603
2025-01-20,30.2962075971
2025-01-19,30.3611924113
2025-01-18,30.356413528
2025-01-17,30.7673993043
2025-01-16,30.6554596805
2025-01-15,29.8383959339
2025-01-14,29.6563950754
2025-01-13,30.473314074
2025-01-12,30.4075834616
2025-01-11,30.4078155432
2025-01-10,30.1006725119
2025-01-09,30.1164060531
2025-01-08,30.081244297
2025-01-07,29.9368954493
2025-01-06,29.6412217625
2025-01-05,29.6161801983
2025-01-04,29.6166020104
2025-01-03,29.5490764832
2025-01-02,29.0000212106
2025-01-01,28.8916201165
2024-12-31,28.9274821549
2024-12-30,29.4345575286
2024-12-29,29.3726995338
2024-12-28,29.3716690949
2024-12-27,29.7988896183
2024-12-26,29.6853445796
2024-12-25,29.6267079534
2024-12-24,29.7103071544
2024-12-23,29.6834241737
2024-12-22,29.5037925886
2024-12-21,29.5131341622
2024-12-20,28.9995776734
2024-12-19,29.3886349858
2024-12-18,30.5324896421
2024-12-17,30.5397555161
2024-12-16,30.5858574488
2024-12-15,30.5553879932
2024-12-14,30.5587771722
2024-12-13,30.8783531591
2024-12-12,31.9835266927
2024-12-11,31.9074436023
2024-12-10,31.8756391066
2024-12-09,31.0115097637
2024-12-08,30.9685486362
2024-12-07,30.9713293665
2024-12-06,31.3356871427
2024-12-05,31.3241628923
2024-12-04,31.0001298471
2024-12-03,30.5922806877
2024-12-02,30.4808468813
2024-12-01,30.618299698
2024-11-30,30.6201945566
2024-11-29,30.2314417908
2024-11-28,30.1057547728
2024-11-27,30.4151159038
2024-11-26,30.0944930668
2024-11-25,31.3894349107
2024-11-24,31.3345652351
2024-11-23,31.3292867883
2024-11-22,30.7691705563
2024-11-21,30.9115732377
2024-11-20,31.2994515685
2024-11-19,31.1601679623
2024-11-18,30.400976815
2024-11-17,30.2481322345
2024-11-16,30.2463595323
2024-11-15,30.4024264298
2024-11-14,30.2833625438
2024-11-13,30.6798254156
2024-11-12,30.6877921673
2024-11-11,31.371610381
2024-11-10,31.3044065695
2024-11-09,31.2979898925
2024-11-08,32.0211785513
2024-11-07,31.2021441015
2024-11-06,32.6770122741
2024-11-05,32.405438387
2024-11-04,32.5409691941
2024-11-03,32.450450782
2024-11-02,32.4451031046
2024-11-01,32.689686803
2024-10-31,33.7387995915
2024-10-30,34.3697304437
2024-10-29,33.7084021169
2024-10-28,33.6255342946
2024-10-27,33.7134405761
2024-10-26,33.7120113672
2024-10-25,33.6818426148
2024-10-24,33.7670297472
2024-10-23,34.5522880708
2024-10-22,33.833425649
2024-10-21,33.7835476414
2024-10-20,33.7166593825
2024-10-19,33.7170062278
2024-10-18,31.784733746
2024-10-17,31.7379473352
2024-10-16,31.4446024889
2024-10-15,31.2203472069
2024-10-14,31.1625675737
2024-10-13,31.5405973221
2024-10-12,31.5418291431
2024-10-11,31.1788959432
2024-10-10,30.4962810776
2024-10-09,30.6392051474
2024-10-08,31.6665751819
2024-10-07,32.1996996521
2024-10-06,32.2037926072
2024-10-05,32.2037647096
2024-10-04,32.0529096611
2024-10-03,31.8325054038
2024-10-02,31.3475850322
2024-10-01,31.2291391302
2024-09-30,31.8026160711
2024-09-29,31.6302236567
2024-09-28,31.6314352736
2024-09-27,31.9153702425
2024-09-26,31.8635409446
2024-09-25,32.1223224205
2024-09-24,30.6853113523
2024-09-23,31.119627917
2024-09-22,31.1698565519
2024-09-21,31.1701031357
2024-09-20,30.7647517054
2024-09-19,30.1746011655
2024-09-18,30.7322694942
2024-09-17,30.7395652916
2024-09-16,30.8962909577
2024-09-15,30.7285391867
2024-09-14,30.7221470465
2024-09-13,29.9235242993
2024-09-12,28.6941380691
2024-09-11,28.4064253857
2024-09-10,28.3279242437
2024-09-09,28.0025933314
2024-09-08,27.9328273156
2024-09-07,27.9319506623
2024-09-06,28.8380946801
2024-09-05,28.2682461395
2024-09-04,28.0467759642
2024-09-03,28.5453737408
2024-09-02,28.8775340628
2024-09-01,28.8618772696
2024-08-31,28.8599953774
2024-08-30,29.374709374
2024-08-29,29.2103416165
2024-08-28,30.0270725888
2024-08-27,29.8621257888
2024-08-26,29.8990559137
2024-08-25,29.8301322226
2024-08-24,29.8313042727
2024-08-23,29.0415194144
2024-08-22,29.601751358
2024-08-21,29.4507971466
2024-08-20,29.4242905398
2024-08-19,28.9988118172
2024-08-18,29.0095427036
2024-08-17,29.0135756522
2024-08-16,28.3665538916
2024-08-15,27.5812326878
2024-08-14,27.8547973758
2024-08-13,27.9979848058
2024-08-12,27.3244380265
2024-08-11,27.4607870053
2024-08-10,27.459878502
2024-08-09,27.514228082
2024-08-08,26.6462919881
2024-08-07,26.8447876311
2024-08-06,27.2982055566
2024-08-05,28.4358034382
2024-08-04,28.560468614
2024-08-03,28.5694149991
2024-08-02,28.4903790597
2024-08-01,29.05843651
2024-07-31,29.4910854907
2024-07-30,27.8155096712
2024-07-29,28.1582701577
2024-07-28,27.922938197
2024-07-27,27.9222181714
2024-07-26,27.8716714775
2024-07-25,28.835231809
2024-07-24,29.2179902213
2024-07-23,29.0837190879
2024-07-22,29.3756532154
2024-07-21,29.2457421329
2024-07-20,29.213406364
2024-07-19,29.6897740743
2024-07-18,30.3566932095
2024-07-17,31.2585957231
2024-07-16,30.5944937542
2024-07-15,30.5940637512
2024-07-14,30.7941666536
2024-07-13,30.795396528
2024-07-12,31.3268335625
2024-07-11,30.8613742866
2024-07-10,30.7796765391
2024-07-09,30.8674883481
2024-07-08,31.1918820183
2024-07-07,31.2209675247
2024-07-06,31.2220621085
2024-07-05,30.535881016
2024-07-04,30.5268544953
2024-07-03,29.6160931884
2024-07-02,29.4467627897
2024-07-01,29.1029992599
2024-06-30,29.141187919
2024-06-29,29.1418639898
2024-06-28,28.9337216713
2024-06-27,28.7844008167
2024-06-26,28.832567857
2024-06-25,29.3886465593
2024-06-24,29.4944742383
2024-06-23,29.543853188
2024-06-22,29.5448846582
2024-06-21,30.5517168342
2024-06-20,30.1893283272
2024-06-19,29.4532994889
2024-06-18,29.4501262671
2024-06-17,29.3015961338
2024-06-16,29.5624922899
2024-06-15,29.5602302669
2024-06-14,29.0419112679
2024-06-13,29.0632394496
2024-06-12,29.3839550394
2024-06-11,29.2253534535
2024-06-10,29.4625702219
2024-06-09,29.170677805
2024-06-08,29.1684955921
2024-06-07,31.160559748
2024-06-06,30.4061858685
2024-06-05,29.5776384511
2024-06-04,30.737479048
2024-06-03,30.5428530629
2024-06-02,30.412889031
2024-06-01,30.4081886381
2024-05-31,31.1378944333
2024-05-30,31.8258598937
2024-05-29,31.9921300384
2024-05-28,31.7905437553
2024-05-27,30.6004293852
2024-05-26,30.3563069095
2024-05-25,30.356556916
2024-05-24,30.374488035
2024-05-23,30.4535719992
2024-05-22,32.1585753242
2024-05-21,31.5445383536
2024-05-20,32.1618003054
2024-05-19,31.4629343555
2024-05-18,31.4624839501
2024-05-17,29.5524175249
2024-05-16,29.5705386689
2024-05-15,28.5614862365
2024-05-14,28.3221420136
2024-05-13,28.1243436745
2024-05-12,28.1743168084
2024-05-11,28.1727576488
2024-05-10,28.3998678906
2024-05-09,27.3536735067
2024-05-08,27.1279747669
2024-05-07,27.3181060243
2024-05-06,26.9548655736
2024-05-05,26.5603864489
2024-05-04,26.5602922712
2024-05-03,26.6406747456
2024-05-02,26.7585924215
2024-05-01,26.3759863462
2024-04-30,27.05291579
2024-04-29,27.2438590605
2024-04-28,27.2040462558
2024-04-27,27.2069562615
2024-04-26,27.4203587334
2024-04-25,27.2475516992
2024-04-24,27.215052589
2024-04-23,27.0002494931
2024-04-22,28.3548567679
2024-04-21,28.68243451
2024-04-20,28.6835456674
2024-04-19,28.73124522
2024-04-18,28.2927683268
2024-04-17,28.1787358277
2024-04-16,28.5240201016
2024-04-15,28.1987054149
2024-04-14,27.908894228
2024-04-13,27.9036863415
2024-04-12,28.7972408189
2024-04-11,27.9506525639
2024-04-10,28.0765029563
2024-04-09,27.801303627
2024-04-08,27.7557273173
2024-04-07,27.4761975075
2024-04-06,27.4670087166
2024-04-05,26.4758423506
2024-04-04,27.1731626064
2024-04-03,26.2551059092
2024-04-02,25.195153153
2024-04-01,25.0825298003
2024-03-31,24.9671808281
2024-03-30,24.9788119725
2024-03-29,24.975256701
2024-03-28,24.5610053102
2024-03-27,24.4100259661
2024-03-26,24.6557958441
2024-03-25,24.8364818194
2024-03-24,24.6828741247
2024-03-23,24.6818638563
2024-03-22,24.5727371104
2024-03-21,25.7224344419
2024-03-20,24.9440605123
2024-03-19,25.1022826394
2024-03-18,25.0552428015
2024-03-17,25.1835168835
2024-03-16,25.184054451
2024-03-15,24.9143234411
2024-03-14,25.092590278
2024-03-13,24.1251375905
2024-03-12,24.4623600736
2024-03-11,24.3264123458
2024-03-10,24.3059658116
2024-03-09,24.3090393785
2024-03-08,24.2853624116
2024-03-07,24.0513660214
2024-03-06,23.6058952541
2024-03-05,23.6849732199
2024-03-04,23.0814557777
2024-03-03,23.1382886127
2024-03-02,23.1397037097
2024-03-01,22.6765286345
